feature,importance
V14,0.1756166127587377
V4,0.11975727261390197
V10,0.11282447266097836
V12,0.09436945862896833
V17,0.09004595844152992
V11,0.05930417411004058
V3,0.05918309587848533
V16,0.05205368683777961
V2,0.030493476677091968
V7,0.024715762582481638
