model,threshold,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn
RandomForest,0.5141780670366501,0.8421052631578947,0.8163265306122449,0.8290155440414507,0.9768115726172292,0.8372186543076107,80,15,18,56849
LightGBM,0.915943313805757,0.9418604651162791,0.826530612244898,0.8804347826086957,0.9758808700745351,0.8824310290158589,81,5,17,56859
MLP_shallow,0.9969350695610046,0.803921568627451,0.8367346938775511,0.82,0.9805774500993419,0.8050055007318891,82,20,16,56844
MLP_deep,0.9987718462944031,0.9146341463414634,0.7653061224489796,0.8333333333333334,0.9711431966568282,0.8506527841281428,75,7,23,56857
